epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,546.066,1.02602,2.29951,1.20491,0.37581,0.5432,0.43126,0.28515,1.15836,1.54604,1.1694,0.0700148,0.00333169,0.00333169
2,1082.98,1.0027,1.65963,1.17862,0.51129,0.55264,0.53572,0.36685,1.08439,1.38629,1.1324,0.0399488,0.00659904,0.00659904
3,1601.23,1.03257,1.62384,1.20122,0.52147,0.53154,0.51659,0.35135,1.16965,1.36327,1.17423,0.00981683,0.00980039,0.00980039
4,2130.86,1.02674,1.58175,1.19959,0.58259,0.59087,0.5888,0.40907,1.06859,1.24152,1.1169,0.009703,0.009703,0.009703
5,2656.2,0.96526,1.46201,1.17013,0.62947,0.61702,0.67153,0.48095,1.0565,1.09038,1.10144,0.009604,0.009604,0.009604
6,3201.42,0.93607,1.39239,1.15295,0.64481,0.66863,0.71526,0.52465,0.9805,1.00219,1.05914,0.009505,0.009505,0.009505
7,3740.6,0.91731,1.34443,1.14407,0.68711,0.65759,0.74456,0.55978,0.96083,0.97219,1.03605,0.009406,0.009406,0.009406
8,4280.74,0.90234,1.30737,1.13927,0.69783,0.70073,0.76793,0.57794,0.94859,0.92017,1.03041,0.009307,0.009307,0.009307
9,4819.93,0.88782,1.27791,1.13138,0.70822,0.69182,0.77437,0.588,0.9432,0.9085,1.0303,0.009208,0.009208,0.009208
10,5361.97,0.87689,1.26108,1.12824,0.6941,0.72464,0.78418,0.59927,0.92373,0.89436,1.01351,0.009109,0.009109,0.009109
11,5903.23,0.87261,1.24177,1.12489,0.70849,0.74038,0.78852,0.60256,0.91836,0.87891,1.01118,0.00901,0.00901,0.00901
12,6436.32,0.86584,1.23016,1.122,0.71433,0.73455,0.79273,0.6103,0.90338,0.86139,1.00078,0.008911,0.008911,0.008911
13,6957.66,0.85982,1.22024,1.11922,0.72279,0.73464,0.79845,0.61459,0.90746,0.85571,1.00502,0.008812,0.008812,0.008812
14,7469.35,0.85572,1.20376,1.11525,0.71776,0.73658,0.80026,0.61778,0.90313,0.85274,1.00184,0.008713,0.008713,0.008713
15,7982.29,0.8485,1.19211,1.11381,0.7174,0.75019,0.80124,0.62028,0.89939,0.84952,1.00009,0.008614,0.008614,0.008614
16,8503.38,0.84686,1.17825,1.11309,0.73583,0.74874,0.80443,0.62353,0.89752,0.84414,0.9988,0.008515,0.008515,0.008515
17,9028.37,0.84206,1.17418,1.10976,0.73555,0.74679,0.80795,0.62597,0.89484,0.84012,0.99654,0.008416,0.008416,0.008416
18,9545.5,0.84097,1.16675,1.10899,0.74616,0.74222,0.81017,0.62839,0.89253,0.83501,0.99442,0.008317,0.008317,0.008317
19,10075.4,0.83517,1.15943,1.10751,0.74168,0.74638,0.8109,0.62977,0.89101,0.83238,0.99318,0.008218,0.008218,0.008218
